model_name,dataset,paragraphs_per_call,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
deepseek-r1:7b,multicardioner_track2_en,0,0.9304556354916067,0.20431806213796735,0.3350604490500863,0.41462347378946895,0.17781075414616362,0.22068857427650837
deepseek-r1:8b,multicardioner_track2_en,0,0.9511308562197092,0.6200631911532386,0.7507172457762193,0.7865273683075894,0.6062642603164607,0.654785884951422
deepseek-r1:14b,multicardioner_track2_en,0,0.908540471637986,0.7506582411795681,0.8220876585928488,0.8557684112826297,0.7524025788338735,0.7765525134258792
deepseek-r1:32b,multicardioner_track2_en,0,0.834696261682243,0.7525013164823592,0.7914705067848242,0.8335279060526068,0.7766963650310201,0.7725528235535291
phi3.5,multicardioner_track2_en,0,0.863019508057676,0.5358083201685098,0.661143599740091,0.7695063573172801,0.5685778196835568,0.6210155480830142
granite3.1-dense,multicardioner_track2_en,0,0.8113702623906706,0.7327540810953134,0.7700608743774212,0.8325811525470332,0.7825799965613859,0.7682358908648114
falcon3:10b,multicardioner_track2_en,0,0.9262129380053908,0.7238020010531859,0.8125923736328702,0.7687327540817405,0.6747835790559616,0.7008605913092657
llama3.2-vision,multicardioner_track2_en,0,0.8913587977457733,0.7496050552922591,0.8143592677345538,0.8387197397651616,0.768686757621685,0.769509826826457
phi4,multicardioner_track2_en,0,0.9072948328267477,0.7859399684044234,0.8422686230248307,0.8586301283478857,0.8014253996043578,0.8053986929275386
qwen2.5:32b,multicardioner_track2_en,0,0.8761286681715575,0.8175355450236966,0.8458185780441296,0.8187651366569048,0.7887673288532188,0.784144108268705
phi4,multicardioner_track2_en,1,0.809143686502177,0.8807266982622433,0.8434190620272314,0.8334642004874268,0.8746922394153871,0.8268229141217067
phi4,multicardioner_track2_en,2,0.8220255653883972,0.880463401790416,0.8502415458937198,0.8358001642233769,0.8731541864785743,0.8291030390975546
phi4,multicardioner_track2_en,3,0.8302638128422101,0.8783570300157978,0.8536335721596725,0.8324559645860559,0.8671502932924354,0.8244085864983314
phi4,multicardioner_track2_en,4,0.828894472361809,0.8686150605581885,0.8482900488557469,0.8220810998536294,0.8541602069238675,0.8128826127508291
phi4,multicardioner_track2_en,5,0.8418604651162791,0.8578199052132701,0.8497652582159626,0.8094977408577142,0.8258783963723719,0.7939444672456218
phi4,multicardioner_track2_en,6,0.8525012893243941,0.8704581358609794,0.8613861386138614,0.8462487035977931,0.8541402720483908,0.8273334100619418
phi4,multicardioner_track2_en,7,0.861646690984888,0.8707214323328067,0.8661602933473023,0.8430392651599067,0.8498572886943399,0.8240303240008028
phi4,multicardioner_track2_en,8,0.8649674620390455,0.8399157451290152,0.8522575474218541,0.8407980568863685,0.8278547854422285,0.8098843555938313
phi4,multicardioner_track2_en,9,0.8603603603603603,0.8549236440231701,0.8576333861595352,0.8425742162772119,0.8375163627156061,0.8170893998807954
phi4,multicardioner_track2_en,10,0.8728586723768736,0.858609794628752,0.8656756039288558,0.8492402532228948,0.8427655748466335,0.8228325037063292
